id,complaint_text,category,urgency
29,"I have a question regarding the disbursement date for the Pell Grant. The academic calendar says one date, but my award letter seems to imply another. Just need to confirm the correct date.",Financial Aid,Low
30,"The noise level in the designated 'quiet study' area of the library is frequently too high. People are having conversations and taking calls. Can signage be improved or enforcement increased?",Campus Life,Medium
31,"My academic advisor provided conflicting information about degree requirements compared to what's listed on the university website. I need to finalize my course plan for next semester and need clarity.",Academic,Medium
32,"The elevator in the Arts building has been broken for over a week now. This is a significant accessibility issue for students with mobility impairments trying to reach upper floors.",Facilities,High
33,"There appears to be mold growing on the windowsill in my dorm room (Birch House, Room 204). It's black and fuzzy. I'm concerned about potential health effects. This needs inspection and cleaning ASAP.",Housing,High
34,"My university email account seems to be sending out spam emails without my knowledge. I'm worried my account has been compromised. What steps should I take to secure it?",IT Support,Critical
35,"I need to appeal the Satisfactory Academic Progress (SAP) hold on my financial aid. I had extenuating circumstances last semester that affected my grades. Who do I contact to start the appeal process?",Financial Aid,High
36,"The options for students with dietary restrictions (gluten-free) in the main dining hall are very limited and often cross-contaminated. This makes it difficult and risky to eat on campus.",Campus Life,Medium
37,"The required textbook listed for ANTH 220 is out of stock everywhere, including the campus bookstore and online retailers. The course started this week. Is there an alternative text or online resource we can use?",Academic,Medium
38,"One of the printers in the student computer lab (Library, 1st floor) is printing streaks across every page, making documents hard to read. It needs maintenance.",Facilities,Low
39,"My RA has been unresponsive to my emails regarding a persistent noise issue with my neighbors. I've sent two emails over the past week with no reply. I need assistance resolving this.",Housing,Medium
40,"I am unable to access the online course materials for HIST 350 on the learning platform. It keeps giving me an 'access denied' error, even though I am enrolled. The first assignment is due soon.",IT Support,Medium
41,"Can you provide information on how external scholarships affect my university grant aid? I reported a scholarship and now my grant amount seems to have decreased significantly.",Financial Aid,Medium
42,"The process for reserving a room for a student organization meeting is overly complicated and requires multiple forms and long approval times. Can this process be streamlined?",Campus Life,Low
43,"I missed a quiz in CHEM 101 due to a documented illness, but the professor is refusing to allow a make-up, which seems contrary to the university's excused absence policy. I need guidance on how to proceed.",Academic,High
44,"The temperature in Lecture Hall C (Science Building) is always freezing cold, regardless of the outside weather. It makes it very difficult to concentrate during long lectures. Can the thermostat be adjusted?",Facilities,Medium
45,"We have a pest problem in our dorm suite (Willow Creek Apts, #102) - specifically ants in the kitchen area. We've tried store-bought traps with no luck. Can pest control please be scheduled?",Housing,Medium
46,"The university's main website seems to be loading very slowly today. Other websites are working fine on my connection. Is there a known issue with the server?",IT Support,Low
47,"I believe my FAFSA application might have errors based on the SAR report I received. Could I schedule an appointment with a financial aid advisor to review it with me?",Financial Aid,Medium
48,"The basketball courts at the campus recreation center often have cracked surfaces and faded lines. They could use some resurfacing and maintenance for safety and better play.",Campus Life,Low
49,"My assigned academic advisor is not in the department relevant to my intended major change. How do I request a new advisor who specializes in the program I want to pursue?",Academic,Medium
50,"The hand sanitizer dispensers in several academic buildings (e.g., Social Sciences Hall, Education Building) are consistently empty. Especially during flu season, these should be refilled regularly.",Facilities,Low
51,"The lock on my dorm room door (Sycamore Hall, 415) feels loose and doesn't always catch properly. I'm concerned about security. Can maintenance please inspect and repair it?",Housing,Medium
52,"I'm a Mac user and the software required for my engineering simulation class (ENGR 310) only seems to have a Windows version available through the university download portal. Is there a Mac alternative or solution?",IT Support,Medium
53,"There appears to be a hold on my account labeled 'Financial Aid Verification Incomplete', but I submitted all requested documents weeks ago. Can you confirm receipt and remove the hold?",Financial Aid,High
54,"The intramural sports sign-up process was very disorganized this semester. The website crashed multiple times, and teams were filled before many students could even access the page.",Campus Life,Medium
55,"A course I need for graduation, PHIL 490, is not being offered next semester according to the preliminary schedule. This is the last semester it would fit in my plan. Is there any way it can be added?",Academic,High
56,"The drinking fountain near the main gym entrance has very low water pressure. It takes ages to fill a water bottle. Could this be looked at?",Facilities,Low
57,"My roommate and I are having significant disagreements that we haven't been able to resolve on our own. The living situation is becoming very tense. We would like to request mediation assistance from Residence Life.",Housing,Medium
58,"I forgot my password for the student email system and the password reset link doesn't seem to be working. I keep getting an error page. I need access to my email for class communication.",IT Support,Medium
59,"I'm trying to understand the requirements for maintaining my academic scholarship. The renewal criteria seem ambiguous. Could you point me to the specific policy or explain it?",Financial Aid,Low
60,"The accessibility ramp leading into the student services building has a large crack and uneven section. This could be hazardous for wheelchair users or anyone with mobility issues.",Facilities,High
61,"The professor for ART 250 is consistently late to class and often ends sessions early, cutting significantly into instruction time. This feels unprofessional and detrimental to our learning.",Academic,Medium
62,"The air conditioning in the library's east wing reading room isn't working effectively. It gets very stuffy and warm in the afternoons, making it difficult to study.",Facilities,Medium
63,"We suspect there might be a leak in the ceiling of our dorm bathroom (Redwood House, Apt 2B). There's a water stain that seems to be growing. We're worried about water damage.",Housing,High
64,"The campus VPN connection keeps dropping frequently, disrupting my access to necessary research databases when working from home. Is there a more stable connection method available?",IT Support,Medium
65,"My student loan disbursement seems delayed. It was supposed to be applied to my account balance last week, but it's still not showing. Can you check on the status?",Financial Aid,Medium
66,"I attended a campus event advertised with free food, but the food ran out within the first 15 minutes, long before the advertised end time. This was disappointing and seemed poorly planned.",Campus Life,Low
67,"There's a discrepancy between the syllabus and the online learning portal regarding the due date for the next major paper in ENGL 102. Could the professor please clarify which date is correct?",Academic,Low
68,"The bike racks near the science building are completely full most days by 9 AM. Many students end up locking bikes to railings or trees. Could additional bike rack capacity be added in this area?",Facilities,Low
69,"My dorm room window (Aspen Hall, 601) has a draft and doesn't seem to close properly, letting in cold air. With winter approaching, this needs to be fixed soon.",Housing,Medium
70,"I am unable to print documents from the computers in the Engineering lab. I keep getting a 'printer offline' error message, even though the printer appears to be on.",IT Support,Medium
71,"I need to submit a dependency override appeal for my financial aid application due to unique family circumstances. What documentation is required for this process?",Financial Aid,Medium
72,"The student volunteer fair felt overcrowded and poorly organized. It was difficult to navigate the booths or talk to representatives properly. Maybe a larger venue or better layout next time?",Campus Life,Low
73,"I received an academic warning notification, but I'm not sure which course grade triggered it. My grades in the portal seem okay. Could you help me understand the reason for the warning?",Academic,Medium
74,"The sidewalk outside the main cafeteria is uneven and cracked, creating a potential tripping hazard, especially in the crowded lunch rush. It needs repair.",Facilities,Medium
75,"My assigned parking permit area (Lot G) is consistently full by mid-morning, forcing me to park far away and often be late for class. Is there any possibility of getting reassigned or are there overflow options?",Campus Life,Medium
76,"I am a student with a documented disability and require testing accommodations (extended time). My request submitted through the Disability Services portal hasn't been confirmed yet for my upcoming exams. Please expedite.",Academic,High
77,"The heating/cooling system in the lecture hall (Baker Hall 101) makes loud banging noises intermittently, which is very distracting during lectures and exams.",Facilities,Medium
78,"The communal bathroom on my floor (Juniper Hall, 2nd Floor South) has not been cleaned properly for several days. The trash is overflowing and the showers are dirty. This needs attention from custodial services.",Housing,High
79,"The university's two-factor authentication system is not sending the code to my phone, preventing me from logging into critical services. I've tried multiple times. I need immediate assistance.",IT Support,Critical
80,"My financial aid refund check has not arrived yet, well past the expected delivery date. I rely on this for living expenses. Can the disbursement office track the check or reissue it?",Financial Aid,High
81,"There are not enough quiet study spaces available on campus during midterms and finals week. The library is packed, and other areas are too noisy. Could more spaces be designated as quiet zones?",Campus Life,Medium
82,"I'm concerned about the grading consistency of the TAs in my large lecture course (PSYC 101). My friend and I submitted similar quality work but received vastly different grades from different TAs.",Academic,Medium
83,"Could we have the exterior lights repaired near the entrance of Willow Creek Apartments? It's very dark when returning late at night.",Facilities,Medium
84,"The laundry machine in my dorm building (Spruce House) malfunctioned and damaged my clothes. Is there a process for filing a claim or requesting reimbursement for the damaged items?",Housing,Medium
85,"The link provided by my professor for accessing an online simulation for PHYS 202 lab leads to a broken page (404 Error). We need this simulation for our next lab session.",IT Support,Medium
86,"I need clarification on the process for accepting or declining specific loans offered in my financial aid package. The portal options are a bit confusing.",Financial Aid,Low
87,"The campus shuttle service doesn't run late enough on weekends, making it difficult for students without cars to get back to dorms from late study sessions or events.",Campus Life,Medium
88,"My request for an official transcript seems to be stuck in processing. I submitted it over a week ago and need it for a scholarship application deadline next Monday. Can this be expedited?",Academic,High
89,"The elevator call button for the 'up' direction on the ground floor of the Administration building doesn't seem to be working. I pressed it multiple times, but the elevator didn't register the call.",Facilities,Medium
90,"There is a persistent unpleasant smell in the hallway on the 3rd floor of Sequoia Hall, near the recycling room. It smells like old trash or something rotting. Can maintenance investigate?",Housing,Medium
91,"I am trying to install the university-provided statistical software package (Statistica) on my personal laptop, but the installation keeps failing with an error code. I need this for my research methods class.",IT Support,Medium
92,"I received an email stating I was selected for financial aid verification, but I already submitted verification documents last year. Is it standard to be selected multiple years in a row?",Financial Aid,Low
93,"The availability of healthy food options, especially fresh fruits and vegetables, is very limited in the campus convenience store, particularly in the evenings.",Campus Life,Low
94,"I am graduating this semester but have concerns that one of my required courses might not fulfill a specific degree requirement due to a curriculum change. Can I get an official degree audit confirmation?",Academic,High
95,"The automatic paper towel dispenser in the men's restroom near the main auditorium (Performance Hall) is not working. Needs batteries or repair.",Facilities,Low
96,"The internet connection in my specific dorm room (Laurel House, Room 520) is significantly slower and less reliable than my neighbors'. Could there be an issue with the port or wiring in my room?",Housing,Medium
97,"The campus network seems to be blocking access to certain academic research websites and journals that I need for my thesis. Can exceptions be made or the firewall settings adjusted?",IT Support,Medium
98,"I'm an international student and need help understanding the tax implications of my scholarship award. Does the financial aid office offer resources or guidance on this?",Financial Aid,Medium
99,"The noise from ongoing construction near the library is extremely disruptive during daytime study hours. Are there any measures being taken to mitigate the noise, or alternative quiet locations suggested?",Campus Life,Medium
100,"My professor for MKTG 360 is using an outdated version of the textbook compared to the one listed in the bookstore, causing confusion with readings and page numbers. Can this be clarified?",Academic,Low
101,"The projector in classroom 205, Thompson Hall, frequently overheats and shuts down mid-lecture. This has happened three times in my class this semester. Needs repair or replacement.",Facilities,Medium
102,"Request to have the lock changed on my dorm room (Oak Residence, 411) as I lost my keys off-campus and am concerned someone might find them and gain access. Willing to pay the fee.",Housing,High
103,"I am unable to download the lecture recordings for my BIOL 210 class. The links on the course website appear broken or lead to an error page. These are crucial for exam review.",IT Support,Medium
104,"My expected Parent PLUS loan disbursement has not been applied to my student account yet, and the tuition payment deadline is approaching rapidly. Please investigate the delay.",Financial Aid,High
105,"The student activity fee seems quite high. Could the university provide a more detailed breakdown of how exactly this fee is being used and allocated across different services and organizations?",Campus Life,Low
106,"I'm struggling in my Calculus II course (MATH 1B) and would like to request a tutor. What resources are available through the university's academic support center?",Academic,Medium
107,"The recycling and trash collection area behind the dining hall often has overflowing dumpsters and scattered litter, attracting pests. It needs better containment and more frequent servicing.",Facilities,Medium
108,"The smoke detector in my dorm room (Cedar Hall, 214) started chirping intermittently last night, suggesting a low battery. Can maintenance please replace the battery?",Housing,Low
109,"I'm getting repeated security warnings when trying to access the university's internal job board. My browser flags the site certificate as invalid. Is the site secure?",IT Support,Medium
110,"I have questions about the Satisfactory Academic Progress (SAP) appeal process. Where can I find the official policy and the necessary forms to submit an appeal?",Financial Aid,Medium
111,"The process for getting reimbursed for student club expenses is slow and requires excessive paperwork. It often takes weeks to get money back, which is hard for student leaders.",Campus Life,Medium
112,"The online registration system prevented me from enrolling in a required lab section that conflicts with another course, even though I have approval from both instructors for the overlap. System needs override.",Academic,High
113,"There is a persistent leak dripping from the ceiling onto the stairs in the west stairwell of the Social Sciences building, making the steps slippery and hazardous.",Facilities,High
114,"My dorm room (Maple Hall, 505) smells strongly of cigarette smoke, possibly coming from a neighboring room or vent. Smoking is prohibited in residence halls. Can this be investigated?",Housing,Medium
115,"I need to use specialized graphic design software (Adobe Creative Suite) for a class project, but the computer lab licenses seem to be expired or unavailable on most machines. Project due soon!",IT Support,High
116,"URGENT: My financial aid was suddenly cancelled or put on hold today with no prior warning, and tuition is due tomorrow. I cannot get through to the office by phone. I risk being dropped from classes. Need immediate help!",Financial Aid,Critical
117,"The campus safety escort service has extremely long wait times (over an hour) late at night, diminishing its usefulness for students who need to get across campus safely.",Campus Life,High
118,"The syllabus for HIST 455 seems incomplete; it doesn't list the grading breakdown or assignment deadlines beyond the first few weeks. Can the professor provide the full details?",Academic,Low
119,"The benches near the duck pond are weathered and have splintered wood, making them unusable. Could these be repaired or replaced as it's a popular spot for students?",Facilities,Low
120,"The washing machine on the 4th floor of Elm Tower is leaking water onto the floor, creating a slipping hazard. It needs to be shut off and repaired immediately.",Housing,High
121,"The university portal is down. I can't access my courses, email, or check my grades. This is impacting my ability to do homework and communicate with professors. Is there an ETA for restoration?",IT Support,Critical
122,"I was charged an incorrect fee on my student bill (a lab fee for a course I'm not enrolled in). How do I get this charge removed?",Financial Aid,Medium
123,"The hours for the campus coffee shop in the library were recently reduced, now closing much earlier in the evening. This is inconvenient for students studying late.",Campus Life,Low
124,"I am having difficulty contacting my assigned faculty mentor for my senior thesis project. They have not responded to two emails sent over the past 10 days. Guidance needed soon.",Academic,Medium
125,"Could the grass/lawn area in the main quad be treated for ants? Sitting on the grass during lunch results in numerous ant bites lately.",Facilities,Low
126,"My RA entered my room for a non-emergency inspection without providing the required 24-hour notice. I believe this violates the housing agreement policy regarding entry.",Housing,Medium
127,"I am trying to connect my gaming console to the campus residential network (ResNet), but it requires registration and the registration portal seems to be down or not working.",IT Support,Low
128,"What is the deadline for applying for summer financial aid? I can't seem to find this information clearly posted on the website.",Financial Aid,Low
129,"The student government election process felt poorly advertised this year. Many students I spoke with weren't aware of the candidates or the voting period until it was almost over.",Campus Life,Low
130,"I need to request an incomplete grade for my SOCI 310 class due to a serious family emergency that requires me to be away for the final weeks of the semester. What is the formal procedure?",Academic,High
131,"The water fountain on the 3rd floor of the Humanities building dispenses water that tastes metallic and unpleasant. Could it be checked or the filter replaced?",Facilities,Medium
132,"My roommate has created a hostile living environment through repeated verbal harassment. I no longer feel safe or comfortable in my own dorm room. I need to request an immediate room change.",Housing,Critical
133,"Critical system access needed: The server hosting the data for my graduate research project appears to be offline. I cannot access essential files and my deadline is approaching. Please investigate urgently.",IT Support,Critical
134,"I accepted a subsidized loan as part of my aid package, but it's not appearing on my account summary or reducing my balance due. Can you confirm if it was processed correctly?",Financial Aid,Medium
135,"The cultural diversity requirement seems difficult to fulfill due to limited course offerings that fit into my already packed engineering schedule. Are there alternative ways to meet this requirement?",Academic,Medium
136,"Many of the treadmills in the campus fitness center have malfunctioning displays (speed/distance not showing correctly). It makes tracking workouts difficult.",Facilities,Low
137,"There's a wasps' nest forming near the entrance of Aspen Hall. It's becoming quite large and poses a stinging risk to residents entering/exiting the building. Needs professional removal.",Housing,High
138,"I'm trying to use the campus virtual desktop infrastructure (VDI) to access specialized software from home, but the connection is extremely laggy and unusable for the required tasks.",IT Support,Medium
139,"Can you explain the difference between the various university grants (e.g., University Need Grant vs. Presidential Grant) listed on my award letter? The descriptions are unclear.",Financial Aid,Low
140,"The food served at the late-night grill option is often cold or seems like it's been sitting out for a long time. Food safety and quality are concerns.",Campus Life,Medium
141,"The prerequisites listed for CS 301 in the online catalog differ from what the department website states. Which source is accurate? Need to know for registration planning.",Academic,Low
142,"The men's restroom near the main library entrance often has empty soap dispensers. This is a basic hygiene issue that should be addressed more consistently.",Facilities,Low
143,"Requesting permission to keep my bicycle in my dorm room over the winter break, as I am worried about it being left outside on the racks for that long. Is this permissible?",Housing,Low
144,"I received a phishing email pretending to be from university IT, asking for my password. I didn't click anything, but wanted to report it in case others received it too.",IT Support,Medium
145,"My estimated family contribution (EFC) seems incorrect based on my family's income last year. How can I request a review or correction of my FAFSA data?",Financial Aid,Medium
146,"The lines for food at the main dining hall during peak lunch hours are excessively long, often taking 20-30 minutes. This makes it hard to get food and make it to afternoon classes on time.",Campus Life,Medium
147,"My professor for POLI 280 frequently cancels office hours with little or no notice. This makes it very difficult to get help or ask questions outside of class.",Academic,Medium
148,"The stairwell lighting in the West Parking Garage is partially out on several floors, making it feel unsafe, especially in the evenings. Bulbs need replacing.",Facilities,Medium
149,"I believe another resident on my floor (Pine Hall, 6th) is violating the quiet hours policy almost every night with loud gatherings. Multiple attempts to ask them to be quiet have failed.",Housing,Medium
150,"The university's mobile app (for checking grades, schedules etc.) frequently crashes or fails to load information properly on my Android phone. Needs stability improvements.",IT Support,Low
151,"Is work-study funding available for the summer term? If so, how and when should I apply?",Financial Aid,Low
152,"The campus bookstore buyback prices offered for textbooks seemed extremely low this semester, even for current editions in good condition. It feels exploitative.",Campus Life,Medium
153,"I need to arrange for disability accommodations (note-taker) for my upcoming semester courses. What is the deadline to submit the request to the Disability Resource Center?",Academic,Medium
154,"The pedestrian crosswalk button at the intersection near the Student Union doesn't seem to work; the walk signal doesn't activate any faster when pressed. Needs repair.",Facilities,Low
155,"The thermostat in my dorm room (Sycamore Hall, 330) seems broken. It's either blasting heat or nothing, with no middle ground. Makes temperature regulation impossible.",Housing,Medium
156,"The campus course registration website crashed during my registration appointment window. By the time it was back up, the class section I needed was full. This is unacceptable.",IT Support,High
157,"I missed the FAFSA priority deadline due to unforeseen personal circumstances. Can I still submit it, and what are the potential impacts on my aid eligibility?",Financial Aid,Medium
158,"There seem to be very few events or activities organized on campus during weekends, making the campus feel dead and offering little for students who stay here.",Campus Life,Low
159,"The grading rubric for the final project in ART 310 was only provided after the project was submitted, making it impossible to know the grading criteria beforehand. This seems unfair.",Academic,Medium
160,"The outdoor trash cans near the bus stop are often overflowing, with litter blowing around the area. Needs more frequent emptying or larger bins.",Facilities,Low
161,"Can the university provide clearer guidelines on the policy for guests staying overnight in the dorms? The current rules in the handbook are somewhat ambiguous.",Housing,Low
162,"I am trying to update my contact information (phone number) in the student portal, but the system gives an error message each time I try to save the changes.",IT Support,Low
163,"How does withdrawing from a course affect my financial aid status and future eligibility? I need to understand the financial implications before making a decision.",Financial Aid,Medium
164,"The Wi-Fi signal in the outdoor quad area is very weak, making it difficult to work online outside when the weather is nice.",Campus Life,Low
165,"My professor for CHEM 221 is unresponsive to student emails. I sent a question about the upcoming lab report 4 days ago and have not received any reply.",Academic,Medium
166,"The classroom door for Lecture Hall A (Davis Building) sticks badly and is difficult to open and close quietly, often disrupting the class.",Facilities,Low
167,"My smoke detector is beeping constantly (a fast chirp every few seconds), not the low battery signal. It's incredibly annoying and concerning. Room 112, Redwood House. Needs immediate check.",Housing,High
168,"I need access to a specific research database (JSTOR) for my paper, but my university credentials are not being accepted on their login page. I need access urgently for a deadline.",IT Support,High
169,"There's a discrepancy between my billing statement and my financial aid award letter regarding the amount of tuition covered. Can someone help me reconcile these figures?",Financial Aid,Medium
170,"Could the campus gym offer more group fitness classes during the morning hours? Most seem to be scheduled in the late afternoon or evening.",Campus Life,Low
171,"I am concerned about potential grade deflation in the Physics department. My grades seem consistently lower than expected despite strong performance, a sentiment shared by classmates.",Academic,Medium
172,"The landscaping crew often uses loud leaf blowers right outside the library windows during peak study times. Could this work be scheduled for less disruptive hours?",Facilities,Medium
173,"The shared bathroom on my floor (Juniper Hall, 3rd North) frequently runs out of toilet paper, especially on weekends. Can stocking be improved?",Housing,Low
174,"The campus events calendar on the website is difficult to navigate and often seems out of date. It's hard to find out what's happening on campus.",Campus Life,Low
175,"I was unable to submit my final exam electronically due to a server timeout on the university's platform right at the deadline. I have screenshots. Need resolution to avoid zero grade.",IT Support,Critical
176,"My federal student loan application requires my parents' tax information, but they are refusing to provide it. What are my options for securing aid in this situation?",Financial Aid,High
177,"I need to report a concern about academic integrity. I witnessed several students cheating during the recent MATH 101 exam. Who should I report this to confidentially?",Academic,High
178,"There is graffiti on the wall in the stairwell of the Fine Arts building. It's been there for over a week. Can it be cleaned/painted over?",Facilities,Low
179,"My request for a room change submitted at the beginning of the semester has still not been processed or addressed. The living situation with my current roommate is untenable.",Housing,High
180,"The computer login times in the main campus computer lab are extremely slow, often taking several minutes just to get to the desktop. This wastes valuable time.",IT Support,Low
181,"I received a scholarship from an external organization. Where do I send the check, and how do I ensure it gets credited to my student account correctly?",Financial Aid,Medium
182,"The vegetarian/vegan protein options in the dining hall often run out quickly, leaving little choice for students with these dietary needs later in the meal service.",Campus Life,Medium
183,"The course description for PSYC 350 needs updating; it doesn't accurately reflect the actual content and focus of the class this semester under the current instructor.",Academic,Low
184,"The elevator in the Administration building seems to be malfunctioning - it made a strange noise and jolted slightly between floors. It feels unsafe. Requesting immediate inspection.",Facilities,Critical
185,"The communal kitchen refrigerator on my floor (Spruce House, 2nd) is not keeping food cold enough. Several students' items have spoiled. It needs repair or replacement.",Housing,Medium
186,"I'm trying to register my laptop for access to the secure campus Wi-Fi network, but the device registration portal page won't load.",IT Support,Medium
187,"Does the university offer any grants or financial assistance specifically for students participating in unpaid internships?",Financial Aid,Low
188,"Concern regarding the conduct of a specific student organization during the activities fair - they were overly aggressive in recruiting members and made some students uncomfortable.",Campus Life,Medium
189,"Professor Davies cancelled class for SOCI 200 today without any prior email notification or announcement on the course website. Many students showed up unnecessarily.",Academic,Low
190,"The automatic door opener button for the accessible entrance to the Science Library is not working, hindering access for individuals with disabilities.",Facilities,High
191,"My dorm room (Willow Creek Apts, #215) has low water pressure in the shower. It's barely more than a trickle. Can maintenance take a look?",Housing,Low
192,"I'm unable to access my university email account; it says my password expired, but I wasn't prompted to change it. I need access for important course communications.",IT Support,High
193,"I need to request a budget increase for my financial aid due to significantly higher course material costs this semester than anticipated. What's the process?",Financial Aid,Medium
194,"The intramural sports fields are often poorly maintained, with uneven ground and faded lines, increasing the risk of injury during games.",Campus Life,Medium
195,"I have registered for classes, but my student ID card does not grant me access to the necessary lab building (BioChem Labs) after hours, which is required for my research.",Academic,Medium
196,"Could we get recycling bins placed inside the larger lecture halls? Currently, students have to carry recyclables out, and many just end up in the trash.",Facilities,Low
197,"The noise insulation between dorm rooms in Cedar Hall seems very poor. I can clearly hear conversations and noise from my neighbors at all hours.",Housing,Medium
198,"The university's online payment portal for tuition failed multiple times when I tried to submit my payment yesterday. I eventually succeeded, but it was stressful near the deadline.",IT Support,Low
199,"I am trying to find information about the Federal Work-Study program job options on campus for next year. Is there a specific job board or contact person?",Financial Aid,Low
200,"The campus shuttle tracking app is often inaccurate, showing buses in the wrong locations or not updating their positions in real-time.",Campus Life,Medium
201,"The required software for my statistics class (STAT 250) is not compatible with the latest version of my operating system (MacOS Sonoma). Need guidance on how to proceed.",Academic,Medium
202,"The lighting in the parking lot behind the humanities building (Lot D) is inadequate. Several lamps are burnt out, making it feel unsafe at night.",Facilities,Medium
203,"My dorm key card randomly stopped working this afternoon. I cannot get into my building or room (Elm Tower, 603). I need assistance regaining access asap.",Housing,High
204,"The campus print server seems to be down. I cannot print from any of the library computers or my personal laptop to the networked printers.",IT Support,Medium
205,"I need to report a change in my family's financial circumstances that occurred after I submitted my FAFSA. How do I update my information for a possible aid adjustment?",Financial Aid,High
206,"The selection of late-night food options on campus is very limited, especially for students studying or working late in areas far from the main dining complex.",Campus Life,Medium
207,"The professor for ENGL 310 seems disorganized and unprepared for lectures, often deviating significantly from the syllabus and assigned readings.",Academic,Medium
208,"There's a broken sprinkler head on the lawn near the main entrance that is spraying water onto the sidewalk, creating a large puddle and wasting water.",Facilities,Low
209,"I suspect my roommate may be engaging in illegal drug use within our dorm room (Maple Hall, 210). I am uncomfortable and concerned. Requesting confidential intervention.",Housing,Critical
210,"I'm trying to access an e-book required for my course through the library website, but the link requires a specific login I don't have. Can IT help troubleshoot access?",IT Support,Medium
211,"What is the maximum amount I can borrow in federal student loans per year as an undergraduate dependent student? The information online is confusing.",Financial Aid,Low
212,"The seating in the main campus auditorium is uncomfortable and many chairs are in disrepair (torn fabric, broken armrests). An upgrade would be appreciated.",Campus Life,Low
